0
,
0,0
7.6383,12.91
7.6383,12.91
13.158,21.248
13.158,21.248
18,20
,
0,0
5.6233,13.906
5.6233,13.906
9.8352,22.976
9.8352,22.976
14.436,21.018
,
0,0
3.4821,14.59
3.4821,14.59
6.2913,24.188
6.2913,24.188
10.548,21.564
,
0,0
1.2626,14.947
1.2626,14.947
2.6061,24.856
2.6061,24.856
6.423,21.626
,
0,0
-0.98515,14.968
-0.98515,14.968
1.2928,24.705
1.2928,24.705
4.5842,20.941
,
0,0
-3.2108,14.652
-3.2108,14.652
0.49667,23.94
0.49667,23.94
3.1886,19.726
,
0,0
-5.3644,14.008
-5.3644,14.008
-0.31065,22.637
-0.31065,22.637
1.7214,18.069
,
0,0
-7.3975,13.049
-7.3975,13.049
-1.111,20.826
-1.111,20.826
1.5547,16.596
,
0,0
-9.2644,11.797
-9.2644,11.797
-3.4027,19.899
-3.4027,19.899
-0.13479,16.115
,
0,0
-10.923,10.28
-10.923,10.28
-6.3382,19.167
-6.3382,19.167
-2.5414,15.914
,
0,0
-12.337,8.5323
-12.337,8.5323
-9.1313,18.005
-9.1313,18.005
-4.891,15.355
,
0,0
-13.473,6.5929
-13.473,6.5929
-11.719,16.438
-11.719,16.438
-7.1307,14.452
,
0,0
-14.307,4.5054
-14.307,4.5054
-14.044,14.502
-14.044,14.502
-9.2103,13.224
,
0,0
-14.82,2.3168
-14.82,2.3168
-16.054,12.24
-16.054,12.24
-11.083,11.699
,
0,0
-15,0.076086
-15,0.076086
-17.703,9.7039
-17.703,9.7039
-12.707,9.9114
,
0,0
-14.843,-2.1663
-14.843,-2.1663
-18.954,6.9495
-18.954,6.9495
-14.039,7.8656
,
0,0
-14.707,-2.9507
-14.707,-2.9507
-20.134,5.4484
-20.134,5.4484
-15.37,6.9671
,
0,0
-14.774,-2.593
-14.774,-2.593
-21.396,4.9008
-21.396,4.9008
-16.824,6.9247
,
0,0
-14.822,-2.3013
-14.822,-2.3013
-22.489,4.1189
-22.489,4.1189
-18.107,6.5269
,
0,0
-14.863,-2.0254
-14.863,-2.0254
-23.403,3.1769
-23.403,3.1769
-19.163,5.8264
,
0,0
-14.899,-1.7376
-14.899,-1.7376
-24.089,2.2061
-24.089,2.2061
-19.91,4.9517
